Job ID,Job Title,Department,Job Category,Job Subcategory,Education Requirement,Certification Required,Experience Level,Fellowship Required,Key Skills,Tools Used,Work Setting,Job Description,Growth Outlook,Minimum salary,Maximum salary, 
ONC-023,Oncology Chaplain,Oncology,Support,Spiritual Care,Master of Divinity,Board Certified Chaplain,Mid-Level,No,"Spiritual counseling, Crisis support, Bereavement care, Interfaith competency","Paging systems, Mobile communication devices, Resource materials, Assessment tools",Oncology Department/Hospital,"Provide spiritual and emotional support to cancer patients, families, and staff during treatment and end-of-life care.",Moderate,55000,75000, 
ONC-024,Oncology Scheduler,Oncology,Administrative,Patient Services,High School Diploma,Medical terminology preferred,Junior,No,"Appointment scheduling, Patient communication, Insurance verification, Medical terminology","Scheduling software, Phone systems, Insurance databases, EMR systems",Oncology Clinic,"Coordinate patient appointments, manage scheduling systems, and provide administrative support for oncology services.",Moderate,35000,45000, 
ONC-025,Oncology Unit Clerk,Oncology,Administrative,Clerical Support,High School Diploma,Medical terminology preferred,Junior,No,"Data entry, Phone communication, Medical records, Patient coordination","Computer systems, Phone systems, Medical records systems, EMR systems",Oncology Unit,"Provide clerical support including patient registration, medical records management, and communication coordination for oncology units.",Moderate,32000,42000, 
ONC-026,Oncology Technician,Oncology,Support,Patient Care Technician,Certificate Program,"BLS, Patient Care Technician certification",Junior,No,"Patient care assistance, Equipment setup, Vital signs monitoring, Patient transport","Vital signs monitors, Patient transport equipment, Basic medical supplies, Communication devices",Oncology Units/Clinic,Assist clinical staff with patient care activities and provide support services in oncology care settings.,High,35000,45000, 
ONC-027,Immunotherapy Specialist,Oncology,Clinical,Specialty Physician,MD/DO,"ABIM-Medical Oncology, Immunotherapy certification, ACLS, BLS",Senior,Yes,"Immunotherapy protocols, CAR-T cell therapy, Checkpoint inhibitors, Immune-related adverse events","Immunotherapy infusion systems, Cell processing equipment, Immune monitoring tools, Specialized protocols",Immunotherapy Center,"Specialize in cancer treatment using immunotherapy including CAR-T cell therapy, checkpoint inhibitors, and other immune-based treatments.",High,380000,520000, 
ONC-028,Oncology Physician Assistant,Oncology,Clinical,Physician Assistant,Master in PA Studies,"NCCPA, ACLS, BLS",Mid-Level,No,"Cancer assessment, Treatment protocols, Patient education, Procedure assistance","Medical examination tools, Chemotherapy protocols, Monitoring equipment, EMR systems",Oncology Clinic/Hospital,"Provide comprehensive oncology care under physician supervision including patient assessment, treatment coordination, and procedure assistance.",High,108000,138000, 
ONC-029,Cancer Registrar,Oncology,Administrative,Data Management,Bachelor Degree,"CTR, BLS",Mid-Level,No,"Cancer data collection, Staging systems, Registry management, Quality assurance","Cancer registry software, Staging manuals, Database systems, Statistical software",Cancer Registry/Hospital,"Collect, manage, and analyze cancer data for patient care, research, and public health surveillance through comprehensive cancer registry maintenance.",High,55000,75000, 
ONC-030,Genetic Counselor - Oncology,Oncology,Clinical,Counselor,Master Degree,"CGC, BLS",Mid-Level,No,"Cancer genetics, Risk assessment, Genetic testing, Family counseling","Genetic testing platforms, Risk assessment software, Counseling materials, Family history tools",Cancer Genetics Clinic,Provide genetic counseling and risk assessment for hereditary cancer syndromes and coordinate genetic testing for cancer patients and their families.,High,75000,95000, 
ORTHO-001,Orthopedic Surgeon,Orthopedic,Clinical,Attending Physician,MD/DO,"ABOS, ACLS, BLS",Senior,No,"Orthopedic surgery, Fracture repair, Joint replacement, Arthroscopy","Surgical instruments, Orthopedic implants, Arthroscopes, C-arm fluoroscopy",Operating Room/Orthopedic Clinic,"Perform surgical procedures on bones, joints, muscles, and ligaments to treat injuries, diseases, and deformities. Provide comprehensive orthopedic care and surgical intervention.",High,450000,650000, 
ORTHO-002,Spine Surgeon,Orthopedic,Clinical,Specialist Surgeon,MD/DO,"ABOS, Spine Surgery certification, ACLS, BLS",Senior,Yes,"Spinal surgery, Fusion procedures, Disc replacement, Minimally invasive techniques","Spinal instrumentation, Navigation systems, Microscopes, Specialized spine implants",Spine Surgery Center,"Specialize in surgical treatment of spinal conditions including herniated discs, spinal stenosis, and spinal deformities through advanced surgical techniques.",High,600000,800000, 
ORTHO-003,Sports Medicine Physician,Orthopedic,Clinical,Sports Medicine Specialist,MD/DO,"ABOS, Sports Medicine certification, ACLS, BLS",Senior,Yes,"Sports injuries, Arthroscopy, Injury prevention, Performance optimization","Arthroscopes, MRI machines, Ultrasound equipment, Rehabilitation tools",Sports Medicine Clinic,Diagnose and treat sports-related injuries and conditions with focus on returning athletes to optimal performance through surgical and non-surgical treatments.,High,350000,500000, 
ORTHO-004,Joint Replacement Surgeon,Orthopedic,Clinical,Specialist Surgeon,MD/DO,"ABOS, Adult Reconstruction certification, ACLS, BLS",Senior,Yes,"Total joint replacement, Revision surgery, Implant selection, Minimally invasive techniques","Joint implants, Computer navigation, Robotic surgery systems, Surgical instruments",Joint Replacement Center,"Specialize in hip, knee, and shoulder replacement surgeries using advanced techniques and technologies to restore joint function and mobility.",High,500000,700000, 
ORTHO-005,Pediatric Orthopedic Surgeon,Orthopedic,Clinical,Pediatric Specialist,MD/DO,"ABOS, Pediatric Orthopedics certification, ACLS, PALS, BLS",Senior,Yes,"Pediatric bone disorders, Growth plate injuries, Congenital deformities, Scoliosis treatment","Pediatric implants, Growth-friendly devices, Specialized pediatric instruments, Imaging equipment",Pediatric Orthopedic Clinic,"Treat bone and joint conditions in children including congenital deformities, growth disorders, and pediatric fractures with specialized pediatric techniques.",High,400000,550000, 
ORTHO-006,Orthopedic Resident,Orthopedic,Clinical,Resident Physician,MD/DO,"ACLS, BLS",Junior,No,"Basic orthopedic procedures, Fracture management, Clinical assessment, Surgical training","Basic surgical instruments, Casting materials, X-ray equipment, EMR systems",Orthopedic Department/Hospital,Complete orthopedic surgery residency training while providing supervised patient care and developing expertise in orthopedic medicine and surgery.,High,55000,65000, 
ORTHO-007,Orthopedic Nurse Practitioner,Orthopedic,Clinical,Advanced Practice Nurse,MSN,"ACLS, BLS, ONC preferred",Mid-Level,No,"Orthopedic assessment, Post-operative care, Patient education, Cast management","Orthopedic examination tools, Casting materials, Wound care supplies, EMR systems",Orthopedic Clinic/Hospital,"Provide comprehensive orthopedic care including assessment, post-operative management, and patient education in collaboration with orthopedic surgeons.",High,110000,140000, 
ORTHO-008,Orthopedic Nurse,Orthopedic,Clinical,Registered Nurse,BSN/ADN,"ACLS, BLS, ONC preferred",Mid-Level,No,"Post-operative care, Pain management, Patient mobility, Orthopedic procedures","Orthopedic equipment, Pain management devices, Mobility aids, Patient monitoring systems",Orthopedic Unit/Surgery Center,"Provide specialized nursing care for orthopedic patients including post-operative monitoring, pain management, and mobility assistance.",High,68000,88000, 
ORTHO-009,Operating Room Nurse - Orthopedics,Orthopedic,Clinical,Surgical Nurse,BSN,"ACLS, BLS, CNOR",Senior,No,"Surgical procedures, Sterile technique, Instrumentation, Patient positioning","Surgical instruments, Orthopedic implants, Sterilization equipment, Surgical positioning devices",Orthopedic Operating Room,Provide specialized surgical nursing care during orthopedic procedures including instrument management and sterile technique maintenance.,High,75000,95000, 
ORTHO-010,Physical Therapist,Orthopedic,Clinical,Rehabilitation Therapist,Doctor of Physical Therapy,"PT License, BLS",Mid-Level,No,"Orthopedic rehabilitation, Manual therapy, Exercise prescription, Gait training","Exercise equipment, Manual therapy tools, Gait training devices, Therapeutic modalities",Rehabilitation Center/Orthopedic Clinic,"Provide physical therapy services for orthopedic patients to restore mobility, strength, and function following injury or surgery.",High,80000,100000, 
ORTHO-011,Occupational Therapist,Orthopedic,Clinical,Rehabilitation Therapist,Master Degree,"OTR/L, BLS",Mid-Level,No,"Activities of daily living, Adaptive equipment, Hand therapy, Workplace ergonomics","Adaptive equipment, Hand therapy tools, Assessment instruments, Ergonomic devices",Rehabilitation Center/Hand Therapy Clinic,Help orthopedic patients regain independence in daily activities through adaptive strategies and specialized hand and upper extremity therapy.,High,75000,95000, 
ORTHO-012,Orthopedic Physician Assistant,Orthopedic,Clinical,Physician Assistant,Master in PA Studies,"NCCPA, ACLS, BLS",Mid-Level,No,"Orthopedic procedures, Fracture care, Joint injections, Patient assessment","Orthopedic instruments, Injection supplies, Casting materials, EMR systems",Orthopedic Clinic/Hospital,"Provide comprehensive orthopedic care under physician supervision including fracture care, joint injections, and post-operative management.",High,105000,135000, 
ORTHO-013,Orthopedic Radiologist,Orthopedic,Diagnostic,Medical Imaging,MD/DO,"ABR-Diagnostic Radiology, Musculoskeletal Radiology certification, ACLS, BLS",Senior,Yes,"Musculoskeletal imaging, MRI interpretation, CT scanning, Bone pathology","MRI machines, CT scanners, X-ray equipment, PACS systems",Radiology Department,Specialize in interpretation of musculoskeletal imaging studies to diagnose orthopedic conditions and guide treatment planning.,High,400000,550000, 
ORTHO-014,Orthopedic Radiology Technologist,Orthopedic,Diagnostic,Medical Imaging,Associate Degree,"ARRT, BLS",Mid-Level,No,"Orthopedic imaging, Patient positioning, X-ray techniques, Equipment operation","X-ray machines, CT scanners, MRI equipment, Positioning devices",Radiology Department,Perform specialized imaging procedures for orthopedic patients using various radiologic equipment and proper positioning techniques.,High,55000,72000, 
ORTHO-015,Cast Technician,Orthopedic,Support,Clinical Support,Certificate Program,"Cast Technician certification, BLS",Junior,No,"Cast application, Splinting, Patient instruction, Equipment maintenance","Casting materials, Splinting supplies, Cutting tools, Padding materials",Orthopedic Clinic/Emergency Department,"Apply and remove casts, splints, and orthotic devices for patients with fractures and orthopedic conditions.",High,35000,45000, 
ORTHO-016,Surgical Technologist - Orthopedics,Orthopedic,Support,Surgical Technologist,Associate Degree,"CST, BLS",Mid-Level,No,"Surgical instrumentation, Sterile technique, Equipment preparation, Surgical assistance","Orthopedic surgical instruments, Sterilization equipment, Surgical implants, Operating room equipment",Orthopedic Operating Room,Prepare operating rooms and assist surgeons during orthopedic procedures by managing instruments and maintaining sterile fields.,High,48000,62000, 
ORTHO-017,Orthopedic Medical Assistant,Orthopedic,Support,Clinical Support,Medical Assistant Certificate,"CMA, BLS",Junior,No,"Patient preparation, Vital signs, Cast care instruction, Administrative tasks","Vital signs equipment, Cast care supplies, Medical instruments, EMR systems",Orthopedic Clinic,Assist healthcare providers with clinical tasks and patient care coordination in orthopedic practice settings.,High,38000,48000, 
ORTHO-018,Orthopedic Technician,Orthopedic,Support,Patient Care Technician,Certificate Program,"BLS, Patient Care Technician certification",Junior,No,"Patient care assistance, Equipment setup, Mobility assistance, Vital signs monitoring","Orthopedic equipment, Patient transport devices, Vital signs monitors, Mobility aids",Orthopedic Units/Clinic,Assist clinical staff with patient care activities and provide support services in orthopedic care settings.,High,35000,45000, 
ORTHO-019,Orthopedic Department Manager,Orthopedic,Administrative,Department Management,BSN/MBA,"Healthcare management certification, BLS",Senior,No,"Leadership, Budget management, Quality improvement, Staff development","Management software, Budget systems, Quality metrics tools, EMR systems",Orthopedic Department,"Oversee daily operations of orthopedic department including staff management, quality assurance, and resource allocation.",High,90000,130000, 
ORTHO-020,Orthopedic Scheduler,Orthopedic,Administrative,Patient Services,High School Diploma,Medical terminology preferred,Junior,No,"Appointment scheduling, Patient communication, Insurance verification, Medical terminology","Scheduling software, Phone systems, Insurance databases, EMR systems",Orthopedic Clinic,"Coordinate patient appointments, manage scheduling systems, and provide administrative support for orthopedic services.",Moderate,35000,45000, 
ORTHO-021,Orthotist,Orthopedic,Clinical,Orthotic Specialist,Bachelor Degree,"ABC Orthotist certification, BLS",Mid-Level,No,"Orthotic device design, Fitting, Biomechanical assessment, Patient education","Orthotic materials, Fabrication tools, Measurement equipment, CAD software",Orthotic and Prosthetic Clinic,"Design, fabricate, and fit orthotic devices to support and correct musculoskeletal conditions and improve patient mobility.",High,65000,85000, 
ORTHO-022,Prosthetist,Orthopedic,Clinical,Prosthetic Specialist,Bachelor Degree,"ABC Prosthetist certification, BLS",Mid-Level,No,"Prosthetic device design, Fitting, Gait analysis, Patient training","Prosthetic components, Fabrication equipment, Gait analysis systems, Alignment tools",Orthotic and Prosthetic Clinic,"Design, fabricate, and fit prosthetic devices for patients with limb loss to restore function and mobility.",High,70000,90000, 
ORTHO-023,Hand Surgeon,Orthopedic,Clinical,Specialist Surgeon,MD/DO,"ABOS, Hand Surgery certification, ACLS, BLS",Senior,Yes,"Hand surgery, Microsurgery, Nerve repair, Tendon reconstruction","Microsurgical instruments, Operating microscopes, Hand surgery tools, Specialized implants",Hand Surgery Center,"Specialize in surgical treatment of hand, wrist, and upper extremity conditions including trauma, congenital disorders, and degenerative diseases.",High,450000,600000, 
ORTHO-024,Trauma Surgeon - Orthopedics,Orthopedic,Clinical,Trauma Specialist,MD/DO,"ABOS, Orthopedic Trauma certification, ACLS, ATLS, BLS",Senior,Yes,"Trauma surgery, Emergency procedures, Complex fracture repair, Polytrauma management","Trauma surgical instruments, External fixators, Intramedullary devices, Emergency equipment",Trauma Center/Emergency Department,"Provide emergency orthopedic surgical care for trauma patients including complex fractures, polytrauma, and life-threatening injuries.",High,500000,650000, 
ORTHO-025,Orthopedic Unit Clerk,Orthopedic,Administrative,Clerical Support,High School Diploma,Medical terminology preferred,Junior,No,"Data entry, Phone communication, Medical records, Patient coordination","Computer systems, Phone systems, Medical records systems, EMR systems",Orthopedic Unit,"Provide clerical support including patient registration, medical records management, and communication coordination for orthopedic units.",Moderate,32000,42000, 
ORTHO-026,Orthopedic Social Worker,Orthopedic,Support,Patient Services,MSW,"LCSW, Healthcare social work certification",Mid-Level,No,"Patient advocacy, Discharge planning, Resource coordination, Family support","Case management software, Resource databases, Communication systems, Assessment tools",Orthopedic Department/Hospital,Provide psychosocial support and resource coordination for orthopedic patients and their families throughout the care continuum.,High,58000,78000, 
ORTHO-027,Orthopedic Research Coordinator,Orthopedic,Administrative,Clinical Research,Bachelor Degree,CCRP preferred,Mid-Level,No,"Clinical research, Protocol management, Data collection, Regulatory compliance","Clinical trial databases, Research software, Data management systems, Statistical tools",Orthopedic Research Center,"Coordinate clinical research studies in orthopedics, manage study protocols, and ensure compliance with regulatory requirements.",High,55000,75000, 
ORTHO-028,Foot and Ankle Surgeon,Orthopedic,Clinical,Specialist Surgeon,MD/DO,"ABOS, Foot and Ankle Surgery certification, ACLS, BLS",Senior,Yes,"Foot and ankle surgery, Podiatric conditions, Reconstructive surgery, Sports injuries","Specialized foot instruments, Arthroscopic equipment, Implants, Imaging systems",Foot and Ankle Surgery Center,"Specialize in surgical and non-surgical treatment of foot and ankle conditions including trauma, deformities, and sports-related injuries.",High,400000,550000, 
ORTHO-029,Orthopedic Pathologist,Orthopedic,Diagnostic,Anatomic Pathologist,MD/DO,"ABP-Anatomic Pathology, Orthopedic Pathology certification, ACLS, BLS",Senior,Yes,"Bone pathology, Tumor diagnosis, Tissue analysis, Microscopy","Microscopes, Histopathology equipment, Immunohistochemistry systems, Digital pathology platforms",Pathology Laboratory,Diagnose bone and soft tissue tumors and other orthopedic pathological conditions through microscopic examination and specialized testing.,High,300000,450000, 
ORTHO-030,Rehabilitation Medicine Physician,Orthopedic,Clinical,Rehabilitation Specialist,MD/DO,"ABPMR-Physical Medicine and Rehabilitation, ACLS, BLS",Senior,Yes,"Musculoskeletal rehabilitation, Disability assessment, Pain management, Functional restoration","EMG equipment, Diagnostic ultrasound, Injection supplies, Rehabilitation technology",Rehabilitation Medicine Clinic,Specialize in diagnosis and treatment of musculoskeletal conditions through non-surgical rehabilitation approaches and disability management.,High,280000,380000, 
RAD-001,Diagnostic Radiologist,Radiology,Clinical,Attending Physician,MD/DO,"ABR-Diagnostic Radiology, ACLS, BLS",Senior,No,"Image interpretation, Cross-sectional anatomy, Pathology recognition, Report generation","CT scanners, MRI machines, X-ray equipment, PACS systems",Radiology Department,Interpret medical images to diagnose diseases and conditions across all body systems. Provide consultation and communicate findings to referring physicians.,High,400000,550000, 
RAD-002,Interventional Radiologist,Radiology,Clinical,Specialist Physician,MD/DO,"ABR-Diagnostic Radiology, ABR-Interventional Radiology, ACLS, BLS",Senior,Yes,"Minimally invasive procedures, Catheter techniques, Fluoroscopy, Embolization","Angiography equipment, Catheters, Guidewires, Fluoroscopy machines",Interventional Radiology Suite,"Perform minimally invasive procedures using imaging guidance including angioplasty, embolization, and biopsy procedures.",High,500000,700000, 
RAD-003,Neuroradiologist,Radiology,Clinical,Specialist Physician,MD/DO,"ABR-Diagnostic Radiology, Neuroradiology certification, ACLS, BLS",Senior,Yes,"Neuroimaging, Brain pathology, Spine imaging, Advanced MRI techniques","MRI machines, CT scanners, Angiography equipment, Specialized imaging software",Neuroradiology Department,"Specialize in imaging of the brain, spine, and nervous system to diagnose neurological conditions and guide treatment planning.",High,450000,600000, 
RAD-004,Musculoskeletal Radiologist,Radiology,Clinical,Specialist Physician,MD/DO,"ABR-Diagnostic Radiology, Musculoskeletal Radiology certification, ACLS, BLS",Senior,Yes,"Orthopedic imaging, Sports medicine imaging, Arthritis evaluation, Bone pathology","MRI machines, CT scanners, Ultrasound equipment, X-ray systems",Musculoskeletal Imaging Center,"Focus on imaging of bones, joints, muscles, and soft tissues to diagnose orthopedic and sports-related injuries and conditions.",High,420000,580000, 
RAD-005,Nuclear Medicine Physician,Radiology,Clinical,Nuclear Medicine Specialist,MD/DO,"ABNM-Nuclear Medicine, ABR-Nuclear Radiology, ACLS, BLS",Senior,Yes,"Nuclear imaging, Radiopharmaceuticals, PET/CT interpretation, Therapeutic procedures","Gamma cameras, PET scanners, SPECT systems, Radiopharmaceuticals",Nuclear Medicine Department,"Use radioactive materials for imaging and treatment of diseases including cancer, heart conditions, and endocrine disorders.",High,380000,520000, 
RAD-006,Radiology Resident,Radiology,Clinical,Resident Physician,MD/DO,"ACLS, BLS",Junior,No,"Image interpretation training, Basic procedures, Research methodology, Patient interaction","All radiology equipment, PACS systems, Teaching files, EMR systems",Radiology Department/Hospital,Complete diagnostic radiology residency training while learning image interpretation and basic procedures under attending supervision.,High,55000,65000, 
RAD-007,Radiologic Technologist,Radiology,Diagnostic,Medical Imaging Technologist,Associate Degree,"ARRT, BLS",Mid-Level,No,"X-ray imaging, Patient positioning, Radiation safety, Equipment operation","X-ray machines, Portable X-ray units, Digital imaging systems, Positioning aids",Radiology Department,Perform radiographic examinations using X-ray equipment and ensure patient safety while obtaining high-quality diagnostic images.,High,60000,75000, 
RAD-008,CT Technologist,Radiology,Diagnostic,Medical Imaging Technologist,Associate Degree,"ARRT, CT certification, BLS",Mid-Level,No,"CT scanning, Contrast administration, Cross-sectional imaging, Patient care","CT scanners, Contrast injectors, Patient monitors, PACS systems",CT Imaging Department,Operate computed tomography scanners to produce cross-sectional images for diagnostic purposes and administer contrast agents when necessary.,High,65000,80000, 
RAD-009,MRI Technologist,Radiology,Diagnostic,Medical Imaging Technologist,Associate Degree,"ARRT, MRI certification, BLS",Mid-Level,No,"MRI scanning, Magnetic safety, Advanced imaging protocols, Patient screening","MRI machines, RF coils, Contrast injectors, Patient monitoring equipment",MRI Imaging Department,Operate magnetic resonance imaging equipment to produce detailed images of internal body structures while ensuring patient safety in magnetic environment.,High,70000,85000, 
RAD-010,Mammography Technologist,Radiology,Diagnostic,Medical Imaging Technologist,Associate Degree,"ARRT, Mammography certification, BLS",Mid-Level,No,"Breast imaging, Patient positioning, Compression techniques, Quality assurance","Mammography machines, Digital breast tomosynthesis, CAD systems, Quality control equipment",Mammography Center,Perform mammographic examinations for breast cancer screening and diagnostic purposes using specialized breast imaging equipment.,High,62000,78000, 
RAD-011,Nuclear Medicine Technologist,Radiology,Diagnostic,Nuclear Medicine Technologist,Associate Degree,"NMTCB or ARRT-N, BLS",Mid-Level,No,"Radiopharmaceutical preparation, Nuclear imaging, Radiation safety, Quality control","Gamma cameras, PET scanners, SPECT systems, Dose calibrators",Nuclear Medicine Department,Prepare and administer radiopharmaceuticals and operate nuclear imaging equipment to diagnose and treat various medical conditions.,High,75000,90000, 
RAD-012,Ultrasound Technologist,Radiology,Diagnostic,Medical Imaging Technologist,Associate Degree,"ARDMS or ARRT-S, BLS",Mid-Level,No,"Sonographic imaging, Doppler techniques, Patient interaction, Image optimization","Ultrasound machines, Transducers, Doppler systems, Image storage systems",Ultrasound Department,Perform ultrasound examinations using high-frequency sound waves to create images of internal organs and tissues for diagnostic evaluation.,High,68000,82000, 
RAD-013,Radiologist Assistant,Radiology,Clinical,Physician Assistant,Master Degree,"RRA, ARRT, BLS",Mid-Level,No,"Image interpretation assistance, Fluoroscopy procedures, Patient assessment, Radiologic procedures","Fluoroscopy equipment, X-ray machines, PACS systems, Contrast materials",Radiology Department,Assist radiologists with patient care and perform specific radiologic procedures under physician supervision including fluoroscopy and patient assessment.,High,95000,125000, 
RAD-014,Radiology Nurse,Radiology,Clinical,Registered Nurse,BSN/ADN,"ACLS, BLS, CRN preferred",Mid-Level,No,"Patient care, IV access, Contrast reactions, Procedure assistance","IV equipment, Emergency medications, Patient monitors, Contrast injectors",Radiology Department,"Provide nursing care for radiology patients including IV access, contrast administration, and monitoring for adverse reactions during imaging procedures.",High,70000,88000, 
RAD-015,Cardiovascular Technologist,Radiology,Diagnostic,Cardiac Imaging Technologist,Associate Degree,"RCS or RCIS, BLS",Mid-Level,No,"Cardiac catheterization, Electrophysiology, Vascular imaging, Patient monitoring","Cardiac catheterization equipment, EP lab systems, Vascular ultrasound, Hemodynamic monitors",Cardiac Cath Lab,Assist with invasive cardiac procedures and perform non-invasive cardiac imaging studies to diagnose and treat cardiovascular conditions.,High,72000,88000, 
RAD-016,Radiation Therapist,Radiology,Clinical,Radiation Therapy Specialist,Associate Degree,"ARRT-T, BLS",Mid-Level,No,"Radiation delivery, Treatment planning, Patient positioning, Dosimetry","Linear accelerators, Treatment planning systems, Immobilization devices, Dosimetry equipment",Radiation Therapy Department,Deliver prescribed radiation therapy treatments to cancer patients using sophisticated equipment and precise positioning techniques.,High,85000,105000, 
RAD-017,Medical Physicist,Radiology,Clinical,Physics Specialist,PhD in Medical Physics,"ABR-Medical Physics, BLS",Senior,No,"Radiation safety, Equipment calibration, Quality assurance, Dose calculations","Dosimetry equipment, Quality assurance phantoms, Radiation measurement devices, Treatment planning systems",Medical Physics Department,"Ensure safe and accurate delivery of radiation therapy and diagnostic imaging through equipment calibration, quality assurance, and safety protocols.",High,150000,200000, 
RAD-018,PACS Administrator,Radiology,Support,Information Technology,Bachelor Degree,"PACS certification, BLS",Mid-Level,No,"PACS management, Network administration, Database management, System troubleshooting","PACS servers, Network equipment, Database systems, Diagnostic workstations",IT/Radiology Department,"Manage and maintain Picture Archiving and Communication Systems ensuring reliable storage, retrieval, and distribution of medical images.",High,75000,95000, 
RAD-019,Radiology Department Manager,Radiology,Administrative,Department Management,BSN/MBA,"Healthcare management certification, BLS",Senior,No,"Leadership, Budget management, Quality improvement, Staff development","Management software, Budget systems, Quality metrics tools, EMR systems",Radiology Department,"Oversee daily operations of radiology department including staff management, quality assurance, and resource allocation.",High,95000,135000, 
RAD-020,Radiology Scheduler,Radiology,Administrative,Patient Services,High School Diploma,Medical terminology preferred,Junior,No,"Appointment scheduling, Patient communication, Insurance verification, Medical terminology","Scheduling software, Phone systems, Insurance databases, EMR systems",Radiology Department,"Coordinate patient appointments, manage scheduling systems, and provide administrative support for radiology services.",Moderate,35000,45000, 
RAD-021,Chest Radiologist,Radiology,Clinical,Specialist Physician,MD/DO,"ABR-Diagnostic Radiology, Chest Radiology certification, ACLS, BLS",Senior,Yes,"Thoracic imaging, Lung pathology, Chest CT interpretation, Pulmonary nodule evaluation","Chest X-ray systems, CT scanners, CAD systems, PACS workstations",Chest Imaging Department,"Specialize in imaging of the chest including lungs, heart, and mediastinum to diagnose thoracic diseases and conditions.",High,430000,590000, 
RAD-022,Abdominal Radiologist,Radiology,Clinical,Specialist Physician,MD/DO,"ABR-Diagnostic Radiology, Abdominal Radiology certification, ACLS, BLS",Senior,Yes,"Abdominal imaging, GI pathology, Liver imaging, Pancreatic disorders","CT scanners, MRI machines, Ultrasound equipment, Fluoroscopy systems",Abdominal Imaging Department,"Focus on imaging of abdominal organs including liver, pancreas, kidneys, and gastrointestinal tract for diagnostic evaluation.",High,425000,575000, 
RAD-023,Pediatric Radiologist,Radiology,Clinical,Pediatric Specialist,MD/DO,"ABR-Diagnostic Radiology, ABP-Pediatric Radiology, ACLS, PALS, BLS",Senior,Yes,"Pediatric imaging, Child-friendly techniques, Congenital anomalies, Radiation dose optimization","Pediatric imaging equipment, Low-dose protocols, Immobilization devices, Child-friendly systems",Pediatric Radiology Department,"Specialize in medical imaging of infants, children, and adolescents using age-appropriate techniques and radiation dose optimization.",High,410000,560000, 
RAD-024,Breast Imaging Radiologist,Radiology,Clinical,Specialist Physician,MD/DO,"ABR-Diagnostic Radiology, Breast Imaging certification, ACLS, BLS",Senior,Yes,"Mammography interpretation, Breast MRI, Stereotactic biopsy, Tomosynthesis","Mammography equipment, Breast MRI, Stereotactic biopsy systems, Tomosynthesis units",Breast Imaging Center,"Specialize in breast imaging including mammography, MRI, and image-guided breast procedures for screening and diagnosis.",High,440000,600000, 
RAD-025,Radiology Technician,Radiology,Support,Patient Care Technician,Certificate Program,"BLS, Patient Care Technician certification",Junior,No,"Patient transport, Equipment assistance, Vital signs monitoring, Patient positioning","Patient transport equipment, Vital signs monitors, Positioning aids, Communication devices",Radiology Department,Assist clinical staff with patient care activities and provide support services in radiology care settings.,High,35000,45000, 
RAD-026,Radiology Unit Clerk,Radiology,Administrative,Clerical Support,High School Diploma,Medical terminology preferred,Junior,No,"Data entry, Phone communication, Medical records, Patient coordination","Computer systems, Phone systems, Medical records systems, EMR systems",Radiology Department,"Provide clerical support including patient registration, medical records management, and communication coordination for radiology units.",Moderate,32000,42000, 
RAD-027,Radiology Information Systems Analyst,Radiology,Support,Information Technology,Bachelor Degree,"Healthcare IT certification, BLS",Mid-Level,No,"System analysis, Database management, Workflow optimization, Technical support","RIS systems, Database software, Network equipment, Analytics tools",IT/Radiology Department,Analyze and optimize radiology information systems to improve workflow efficiency and data management in imaging departments.,High,70000,90000, 
RAD-028,Biomedical Equipment Technician - Radiology,Radiology,Support,Equipment Maintenance,Associate Degree,"BMET certification, BLS",Mid-Level,No,"Equipment maintenance, Troubleshooting, Calibration, Preventive maintenance","Diagnostic tools, Calibration equipment, Test instruments, Maintenance software",Radiology Equipment Services,Maintain and repair radiological equipment to ensure optimal performance and safety compliance for imaging systems.,High,55000,75000, 
RAD-029,Radiation Safety Officer,Radiology,Support,Safety Specialist,Master Degree,"Certified Health Physics, BLS",Senior,No,"Radiation safety, Regulatory compliance, Safety training, Dosimetry monitoring","Radiation detection equipment, Dosimeters, Safety monitoring systems, Regulatory documentation",Radiation Safety Department,"Ensure compliance with radiation safety regulations and protect patients, staff, and public from radiation exposure in medical imaging facilities.",High,85000,115000, 
RAD-030,Emergency Radiologist,Radiology,Clinical,Emergency Specialist,MD/DO,"ABR-Diagnostic Radiology, Emergency Radiology certification, ACLS, BLS",Senior,Yes,"Emergency imaging, Trauma radiology, Rapid interpretation, Critical findings communication","Emergency imaging equipment, PACS systems, Communication tools, Mobile devices",Emergency Radiology/Hospital,Provide rapid interpretation of emergency imaging studies and communicate critical findings to emergency physicians for urgent patient care.,High,450000,620000, 
PATH-001,Anatomic Pathologist,Pathology,Clinical,Attending Physician,MD/DO,"ABP-Anatomic Pathology, ACLS, BLS",Senior,No,"Histopathology, Surgical pathology, Tumor diagnosis, Microscopic examination","Microscopes, Microtomes, Histopathology equipment, Digital pathology systems",Pathology Laboratory,Examine tissue specimens and perform microscopic analysis to diagnose diseases and provide critical information for patient treatment decisions.,High,300000,450000, 
